FoodID,YieldID,YieldAmount,YieldDateOfEntry
112,985,133.136,2012-08-28
140,985,133.136,2012-08-28
153,985,133.136,2012-08-28
693,681,100,2011-05-10
1175,681,84,2014-11-03
1182,683,0.84,2014-11-03
1199,683,86,2014-07-22
1691,1045,128,2015-07-20
2896,985,22.19,2011-05-05
2900,985,22.19,2011-05-05
4903,921,21,2011-05-05
4904,921,19.345,2011-05-05
5347,921,19.345,2011-05-05
5348,985,1.27859,2015-03-20
5384,683,69,2014-07-22
5855,985,38.69,2011-05-05
5856,985,38.69,2011-05-05
6256,502461,0.5,2011-06-13
502522,3109,68,2014-02-10
502546,683,92,2014-07-22
502547,683,85,2014-07-22
502552,683,87,2014-11-03
502554,681,1,2014-07-02
502559,683,0.86,2014-11-03
502565,681,0.89,2014-11-03
502567,683,81,2014-07-25
502569,681,0.87,2014-11-03
502571,683,90,2014-11-03
502572,683,0.95,2014-11-03
502574,683,88,2014-11-03
502575,683,0.92,2014-11-03
502582,683,0.92,2014-11-03
502584,683,0.94,2014-11-03
502587,681,0.91,2014-11-03
502589,683,94,2014-11-03
502593,683,0.93,2014-11-03
502596,683,64,2014-11-03
502652,985,135.446,2015-03-20
502659,985,130.89,2015-03-20
502662,985,131.994,2015-03-20
502665,985,1.3081,2014-12-01
502667,985,1.31849,2014-12-01
502673,985,132.43,2014-12-02
502693,1582,27,2014-09-12
502700,985,75.022,2014-10-20
502724,985,132.241,2015-03-17
502742,985,14.79,2015-01-29
